44.89	37.32	Анапа	33994
44.99	37.27	Витязево	34185
44.81	37.44	Сукко	38509
46.35	48.03	Астрахань	35244
50.60	36.59	Белгород	27226
45.19	33.37	Евпатория 	38460
45.13	33.60	Саки	43122
46.71	38.27	Ейск	37547
54.71	20.51	Калининград	31821
44.04	42.86	Ессентуки	23052
43.91	42.72	Кисловодск	37881
44.04	43.07	Пятигорск	40511
43.49	43.61	Нальчик	41561
44.10	43.09	Иноземцево	41928
55.44	37.77	Домодедово	21219
56.32	38.14	Сергиев Посад	22915
56.74	38.85	Переславль-Залесский	25761
55.73	36.85	Звенигород	26312
55.93	37.51	Долгопрудный	26915
56.19	36.98	Солнечногорск	27395
54.91	37.42	Серпухов	27703
58.01	56.23	Пермь	30920
56.85	53.21	Ижевск	32519
60.20	29.71	Зеленогорск	21863
59.94	30.32	Санкт-Петербург	25695
60.09	29.97	Сестрорецк	27275
53.20	50.10	Самара	26484
53.51	49.42	Тольятти	29218
44.62	33.53	Севастополь	40916
57.29	33.01	Озеро Селигер	25453
57.98	33.25	Валдай	17903
43.59	39.72	Сочи	34455
43.68	40.21	Красная Поляна	35777
43.70	39.58	Лоо	38422
43.44	39.91	Адлер	40310
43.69	40.26	Эсто-Садок	40672
43.49	39.89	Кудепста	40895
45.03	35.38	Феодосия	36429
44.85	34.98	Судак	37285
44.96	35.24	Коктебель	38881
44.10	39.07	Туапсе	35817
44.20	38.89	Ольгинка	38162
43.91	39.33	Лазаревское	39542
44.30	38.75	Лермонтово	40826
44.04	39.15	Шепси	56003
55.15	60.12	Тургояк	40684
57.15	65.54	Тюмень	40684
